Alloy code, C, Si, Mn, P, S, Ni, Cr, Mo, Cu, Al, N, Temperature (°„C), 0.2% Proof Stress (MPa), Tensile Strength (MPa), Elongation (%), Reduction in Area (%)
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,27,342,490,30,71
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,100,338,454,27,72
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,200,337,465,23,69
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,300,346,495,21,70
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,400,316,489,26,79
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,450,287,461,25,81
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,500,274,431,28,85
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,550,262,387,32,87
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,600,220,314,42,88
MBB,0.12,0.36,0.52,0.009,0.003,0.089,0.97,0.61,0.04,0.003,0.0066,650,152,226,59,92
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0.005,0.008,27,310,463,34,76
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0.005,0.008,100,285,427,31,79
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0.005,0.008,200,296,439,25,77
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0.005,0.008,300,265,471,24,76
MBC,0.09,0.37,0.49,0.006,0.005,0.055,0.98,0.57,0.07,0.005,0.008,400,257,472,28,78
